"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2022";"Emenda Individual - Transferências Especiais";"LUIS TIBE";"0004";"MINAS GERAIS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202227620004";"7.419.682,00";"3.709.841,00";"3.709.841,00";"3.709.841,00";"0,00";"3.709.841,00";
"2022";"Emenda Individual - Transferências Especiais";"GILBERTO ABRAMO";"0005";"MINAS GERAIS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202239990005";"7.426.682,00";"3.713.341,00";"3.713.341,00";"3.713.341,00";"0,00";"3.713.341,00";
"2023";"Emenda Individual - Transferências Especiais";"ANDRE ABDON";"0011";"AMAPÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202330450011";"7.462.770,00";"7.462.770,00";"7.462.770,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"EDILAZIO JUNIOR";"0009";"MARANHÃO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202239680009";"7.469.680,00";"4.284.840,00";"4.284.840,00";"3.184.840,00";"0,00";"3.184.840,00";
"2023";"Emenda Individual - Transferências Especiais";"STYVENSON VALENTIM";"0009";"RIO GRANDE DO NORTE (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202341420009";"7.489.107,00";"7.489.107,00";"7.489.107,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"POMPEO DE MATTOS";"0001";"RIO GRANDE DO SUL (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202236660001";"7.519.365,00";"3.759.682,50";"3.759.682,50";"3.759.682,50";"0,00";"3.759.682,50";
"2022";"Emenda Individual - Transferências Especiais";"LIDICE DA MATA";"0012";"BAHIA (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202224680012";"7.519.682,00";"3.759.841,00";"3.759.841,00";"3.759.841,00";"0,00";"3.759.841,00";
"2023";"Emenda Individual - Transferências Especiais";"RUI FALCAO";"0007";"SÃO PAULO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202390320007";"7.522.564,00";"7.522.564,00";"7.522.564,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"MARCIO MARINHO";"0002";"BAHIA (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202326010002";"7.530.935,00";"7.530.935,00";"7.530.935,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"AROLDO MARTINS";"0007";"PARANÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202239150007";"7.539.682,00";"3.769.841,00";"3.769.841,00";"3.769.841,00";"0,00";"3.769.841,00";
"2022";"Emenda Individual - Transferências Especiais";"LUCAS BARRETO";"0012";"AMAPÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202240790012";"7.569.682,00";"3.784.841,00";"3.784.841,00";"3.784.841,00";"0,00";"3.784.841,00";
"2022";"Emenda Individual - Transferências Especiais";"JOAQUIM PASSARINHO";"0003";"PARÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202236920003";"7.585.000,00";"3.942.500,00";"3.942.500,00";"3.642.500,00";"0,00";"3.642.500,00";
